run_id	max_score	fTP:nb	TP:mean_vaf	TP:mean_score	TP:nb:vaf<1	TP:nb:vaf<0.5	FN:nb	FN:mean_vaf	FN:nb:vaf>=1	FN:nb:vaf<1	FN:nb:vaf<0.5	FP:nb	FP:mean_vaf	FP:mean_score	FP:nb:vaf<1	FP:nb:vaf<0.5
181128_M02558_0267_000000000-C5GNB	0.25	0	nan	nan	0	0	10	1.32	4	6	4	9	0.04	0.16	9	9
181128_M02558_0267_000000000-C5GNB	0.5	5	2.8	0.4	2	1	5	0.14	0	5	4	103	0.04	0.36	103	103
181128_M02558_0267_000000000-C5GNB	1.0	7	2.13	0.5	4	2	3	0.03	0	3	3	185	0.03	0.55	185	185
181128_M02558_0267_000000000-C5GNB	1.25	7	2.13	0.5	4	2	3	0.03	0	3	3	1534	0.02	1.08	1534	1534
181128_M02558_0267_000000000-C5GNB	1.5	7	2.13	0.5	4	2	3	0.03	0	3	3	2249	0.02	1.16	2249	2249
181128_M02558_0267_000000000-C5GNB	1.75	7	2.13	0.5	4	2	3	0.03	0	3	3	2378	0.02	1.18	2378	2373
181128_M02558_0267_000000000-C5GNB	2.0	7	2.13	0.5	4	2	3	0.03	0	3	3	2403	0.02	1.19	2403	2398
181128_M02558_0267_000000000-C5GNB	2.25	7	2.13	0.5	4	2	3	0.03	0	3	3	3827	0.02	1.55	3827	3822
181128_M02558_0267_000000000-C5GNB	2.5	7	2.13	0.5	4	2	3	0.03	0	3	3	4918	0.02	1.73	4918	4913
181130_M03829_0180_000000000-C6MPY	0.25	0	nan	nan	0	0	10	1.32	4	6	4	28	0.03	0.2	28	28
181130_M03829_0180_000000000-C6MPY	0.5	6	2.16	0.39	4	2	4	0.28	1	3	3	207	0.02	0.35	207	207
181130_M03829_0180_000000000-C6MPY	1.0	7	2.09	0.41	4	2	3	0.03	0	3	3	366	0.03	0.52	366	366
181130_M03829_0180_000000000-C6MPY	1.25	7	2.09	0.41	4	2	3	0.03	0	3	3	2137	0.01	1.04	2137	2137
181130_M03829_0180_000000000-C6MPY	1.5	7	2.09	0.41	4	2	3	0.03	0	3	3	3149	0.01	1.14	3149	3149
181130_M03829_0180_000000000-C6MPY	1.75	8	1.84	0.55	5	3	2	0.0	0	2	2	3377	0.01	1.17	3377	3377
181130_M03829_0180_000000000-C6MPY	2.0	8	1.84	0.55	5	3	2	0.0	0	2	2	3447	0.01	1.18	3447	3447
181130_M03829_0180_000000000-C6MPY	2.25	8	1.84	0.55	5	3	2	0.0	0	2	2	5933	0.01	1.59	5933	5933
181130_M03829_0180_000000000-C6MPY	2.5	8	1.84	0.55	5	3	2	0.0	0	2	2	7732	0.01	1.77	7732	7732
181203_M02558_0269_000000000-C5GG5	0.25	0	nan	nan	0	0	10	1.32	4	6	4	14	0.04	0.18	14	14
181203_M02558_0269_000000000-C5GG5	0.5	7	2.26	0.42	3	1	3	0.03	0	3	3	99	0.04	0.37	99	99
181203_M02558_0269_000000000-C5GG5	1.0	7	2.26	0.42	3	1	3	0.03	0	3	3	205	0.04	0.58	205	205
181203_M02558_0269_000000000-C5GG5	1.25	7	2.26	0.42	3	1	3	0.03	0	3	3	1865	0.02	1.09	1865	1865
181203_M02558_0269_000000000-C5GG5	1.5	8	1.98	0.54	4	2	2	0.05	0	2	2	2780	0.02	1.17	2780	2780
181203_M02558_0269_000000000-C5GG5	1.75	8	1.98	0.54	4	2	2	0.05	0	2	2	2937	0.02	1.19	2936	2932
181203_M02558_0269_000000000-C5GG5	2.0	8	1.98	0.54	4	2	2	0.05	0	2	2	2990	0.02	1.21	2989	2985
181203_M02558_0269_000000000-C5GG5	2.25	8	1.98	0.54	4	2	2	0.05	0	2	2	5624	0.01	1.65	5623	5619
181203_M02558_0269_000000000-C5GG5	2.5	8	1.98	0.54	4	2	2	0.05	0	2	2	7368	0.01	1.81	7367	7363
181203_M03829_0181_000000000-C6M8R	0.25	0	nan	nan	0	0	10	1.32	4	6	4	16	0.04	0.19	16	16
181203_M03829_0181_000000000-C6M8R	0.5	6	2.25	0.42	2	2	4	0.15	0	4	3	135	0.75	0.35	131	131
181203_M03829_0181_000000000-C6M8R	1.0	7	2.01	0.48	3	2	3	0.03	0	3	3	243	0.45	0.51	238	238
181203_M03829_0181_000000000-C6M8R	1.25	7	2.01	0.48	3	2	3	0.03	0	3	3	1911	0.07	1.07	1906	1906
181203_M03829_0181_000000000-C6M8R	1.5	7	2.01	0.48	3	2	3	0.03	0	3	3	2888	0.05	1.16	2883	2883
181203_M03829_0181_000000000-C6M8R	1.75	7	2.01	0.48	3	2	3	0.03	0	3	3	3085	0.05	1.19	3080	3080
181203_M03829_0181_000000000-C6M8R	2.0	7	2.01	0.48	3	2	3	0.03	0	3	3	3147	0.05	1.2	3142	3142
181203_M03829_0181_000000000-C6M8R	2.25	7	2.01	0.48	3	2	3	0.03	0	3	3	5888	0.03	1.65	5883	5883
181203_M03829_0181_000000000-C6M8R	2.5	8	1.76	0.72	4	3	2	0.05	0	2	2	7841	0.02	1.82	7836	7836
181204_M02558_0271_000000000-C6MJC	0.25	0	nan	nan	0	0	10	1.32	4	6	4	22	0.03	0.2	22	22
181204_M02558_0271_000000000-C6MJC	0.5	4	2.07	0.38	2	0	6	1.1	2	4	3	171	0.04	0.35	171	171
181204_M02558_0271_000000000-C6MJC	1.0	7	2.63	0.44	3	0	3	0.03	0	3	3	309	0.04	0.53	309	309
181204_M02558_0271_000000000-C6MJC	1.25	7	2.63	0.44	3	0	3	0.03	0	3	3	2404	0.02	1.07	2404	2404
181204_M02558_0271_000000000-C6MJC	1.5	7	2.63	0.44	3	0	3	0.03	0	3	3	3604	0.02	1.16	3604	3604
181204_M02558_0271_000000000-C6MJC	1.75	7	2.63	0.44	3	0	3	0.03	0	3	3	3810	0.02	1.19	3808	3805
181204_M02558_0271_000000000-C6MJC	2.0	7	2.63	0.44	3	0	3	0.03	0	3	3	3903	0.02	1.2	3901	3898
181204_M02558_0271_000000000-C6MJC	2.25	7	2.63	0.44	3	0	3	0.03	0	3	3	8058	0.01	1.7	8056	8053
181204_M02558_0271_000000000-C6MJC	2.5	7	2.63	0.44	3	0	3	0.03	0	3	3	11055	0.01	1.87	11053	11050
181121_M02558_0264_000000000-C5GGT	0.25	0	nan	nan	0	0	42	1.57	20	22	12	70	0.09	0.2	70	69
181121_M02558_0264_000000000-C5GGT	0.5	29	2.41	0.41	15	4	13	0.66	3	10	8	593	0.07	0.36	593	592
181121_M02558_0264_000000000-C5GGT	1.0	35	2.23	0.43	19	6	7	0.07	0	7	7	1002	0.07	0.51	1002	1001
181121_M02558_0264_000000000-C5GGT	1.25	35	2.23	0.43	19	6	7	0.07	0	7	7	6138	0.04	1.05	6138	6137
181121_M02558_0264_000000000-C5GGT	1.5	37	2.12	0.48	21	8	5	0.06	0	5	5	8756	0.04	1.14	8756	8755
181121_M02558_0264_000000000-C5GGT	1.75	37	2.12	0.48	21	8	5	0.06	0	5	5	9195	0.04	1.16	9193	9174
181121_M02558_0264_000000000-C5GGT	2.0	37	2.12	0.48	21	8	5	0.06	0	5	5	9276	0.04	1.16	9274	9255
181121_M02558_0264_000000000-C5GGT	2.25	37	2.12	0.48	21	8	5	0.06	0	5	5	13097	0.03	1.45	13095	13076
181121_M02558_0264_000000000-C5GGT	2.5	37	2.12	0.48	21	8	5	0.06	0	5	5	15793	0.03	1.61	15791	15772
181018_M03829_0168_000000000-C4YCP	0.25	27	0.79	0.15	19	7	33	0.85	28	5	5	48	0.14	0.2	48	47
181018_M03829_0168_000000000-C4YCP	0.5	47	0.81	0.26	33	10	13	0.62	8	5	5	441	0.1	0.36	440	434
181018_M03829_0168_000000000-C4YCP	1.0	51	0.77	0.29	36	13	9	0.56	5	4	4	703	0.09	0.5	702	696
181018_M03829_0168_000000000-C4YCP	1.25	53	0.75	0.31	38	15	7	0.43	3	4	4	4692	0.05	1.06	4691	4681
181018_M03829_0168_000000000-C4YCP	1.5	53	0.75	0.31	38	15	7	0.43	3	4	4	6805	0.05	1.14	6804	6793
181018_M03829_0168_000000000-C4YCP	1.75	53	0.75	0.31	38	15	7	0.43	3	4	4	7084	0.05	1.16	7078	7066
181018_M03829_0168_000000000-C4YCP	2.0	53	0.75	0.31	38	15	7	0.43	3	4	4	7145	0.05	1.17	7139	7127
181018_M03829_0168_000000000-C4YCP	2.25	53	0.75	0.31	38	15	7	0.43	3	4	4	9615	0.05	1.42	9609	9597
181018_M03829_0168_000000000-C4YCP	2.5	53	0.75	0.31	38	15	7	0.43	3	4	4	11586	0.04	1.58	11580	11568
191024_M02558_0334_000000000-CM9MH	0.25	0	nan	nan	0	0	42	0.7	12	30	14	38	0.07	0.2	38	38
191024_M02558_0334_000000000-CM9MH	0.5	28	1.0	0.42	17	11	14	0.31	1	13	11	414	1.26	0.36	393	393
191024_M02558_0334_000000000-CM9MH	1.0	34	0.98	0.44	21	13	8	0.14	0	8	7	727	0.74	0.53	706	706
191024_M02558_0334_000000000-CM9MH	1.25	35	0.97	0.46	22	13	7	0.09	0	7	7	6002	0.11	1.08	5981	5981
191024_M02558_0334_000000000-CM9MH	1.5	38	0.9	0.53	25	16	4	0.05	0	4	4	8710	0.09	1.16	8689	8689
191024_M02558_0334_000000000-CM9MH	1.75	38	0.9	0.53	25	16	4	0.05	0	4	4	9162	0.09	1.18	9136	9120
191024_M02558_0334_000000000-CM9MH	2.0	38	0.9	0.53	25	16	4	0.05	0	4	4	9263	0.09	1.19	9237	9221
191024_M02558_0334_000000000-CM9MH	2.25	38	0.9	0.53	25	16	4	0.05	0	4	4	13669	0.07	1.5	13643	13627
191024_M02558_0334_000000000-CM9MH	2.5	40	0.85	0.62	27	18	2	0.0	0	2	2	16930	0.06	1.66	16904	16888
191024_M03829_0259_000000000-CLVRT	0.25	0	nan	nan	0	0	42	0.7	12	30	14	43	0.07	0.19	43	43
191024_M03829_0259_000000000-CLVRT	0.5	25	0.88	0.39	17	8	17	0.44	2	15	9	393	1.31	0.36	372	372
191024_M03829_0259_000000000-CLVRT	1.0	29	0.91	0.43	19	8	13	0.31	1	12	9	669	0.79	0.51	648	648
191024_M03829_0259_000000000-CLVRT	1.25	30	0.89	0.45	20	9	12	0.27	1	11	9	5616	0.12	1.07	5595	5595
191024_M03829_0259_000000000-CLVRT	1.5	31	0.86	0.48	21	10	11	0.27	1	10	8	8229	0.09	1.16	8208	8208
191024_M03829_0259_000000000-CLVRT	1.75	31	0.86	0.48	21	10	11	0.27	1	10	8	8639	0.09	1.18	8606	8597
191024_M03829_0259_000000000-CLVRT	2.0	31	0.86	0.48	21	10	11	0.27	1	10	8	8733	0.09	1.19	8700	8691
191024_M03829_0259_000000000-CLVRT	2.25	31	0.86	0.48	21	10	11	0.27	1	10	8	12862	0.06	1.5	12829	12820
191024_M03829_0259_000000000-CLVRT	2.5	31	0.86	0.48	21	10	11	0.27	1	10	8	16026	0.06	1.66	15993	15984
191104_M02558_0335_000000000-CN66N	0.25	44	1.08	0.15	27	14	61	0.6	15	46	26	33	0.18	0.19	33	32
191104_M02558_0335_000000000-CN66N	0.5	63	1.25	0.22	34	20	42	0.5	8	34	22	374	0.12	0.37	371	361
191104_M02558_0335_000000000-CN66N	1.0	64	1.23	0.23	35	21	41	0.51	8	33	21	657	0.1	0.53	654	642
191104_M02558_0335_000000000-CN66N	1.25	64	1.23	0.23	35	21	41	0.51	8	33	21	5558	0.04	1.08	5555	5541
191104_M02558_0335_000000000-CN66N	1.5	65	1.21	0.25	36	22	40	0.5	7	33	21	8079	0.04	1.16	8076	8060
191104_M02558_0335_000000000-CN66N	1.75	65	1.21	0.25	36	22	40	0.5	7	33	21	8474	0.04	1.18	8471	8455
191104_M02558_0335_000000000-CN66N	2.0	65	1.21	0.25	36	22	40	0.5	7	33	21	8575	0.04	1.19	8572	8556
191104_M02558_0335_000000000-CN66N	2.25	65	1.21	0.25	36	22	40	0.5	7	33	21	12518	0.03	1.49	12515	12499
191104_M02558_0335_000000000-CN66N	2.5	65	1.21	0.25	36	22	40	0.5	7	33	21	15524	0.03	1.66	15521	15505
191129_M03829_0273_000000000-CN94V	0.25	56	0.95	0.15	33	20	49	0.64	13	36	20	44	0.04	0.2	44	44
191129_M03829_0273_000000000-CN94V	0.5	70	1.06	0.2	38	23	35	0.57	8	27	17	508	0.06	0.37	505	500
191129_M03829_0273_000000000-CN94V	1.0	73	1.09	0.22	40	23	32	0.54	7	25	16	799	0.05	0.51	796	791
191129_M03829_0273_000000000-CN94V	1.25	75	1.09	0.24	41	24	30	0.55	7	23	15	6856	0.02	1.08	6853	6848
191129_M03829_0273_000000000-CN94V	1.5	78	1.06	0.29	43	26	27	0.56	6	21	13	10039	0.02	1.16	10036	10031
191129_M03829_0273_000000000-CN94V	1.75	78	1.06	0.29	43	26	27	0.56	6	21	13	10478	0.02	1.18	10475	10470
191129_M03829_0273_000000000-CN94V	2.0	78	1.06	0.29	43	26	27	0.56	6	21	13	10599	0.02	1.19	10596	10591
191129_M03829_0273_000000000-CN94V	2.25	79	1.05	0.31	44	27	26	0.58	6	20	12	16141	0.02	1.52	16138	16133
191129_M03829_0273_000000000-CN94V	2.5	79	1.05	0.31	44	27	26	0.58	6	20	12	20280	0.02	1.69	20277	20272
200724_M02558_0382_000000000-J6WC6	0.25	0	nan	nan	0	0	14	1.36	6	8	4	29	0.06	0.21	29	29
200724_M02558_0382_000000000-J6WC6	0.5	9	2.01	0.42	5	2	5	0.55	1	4	3	361	0.05	0.38	361	361
200724_M02558_0382_000000000-J6WC6	1.0	11	1.95	0.5	6	3	3	0.08	0	3	3	631	0.05	0.53	631	631
200724_M02558_0382_000000000-J6WC6	1.25	11	1.95	0.5	6	3	3	0.08	0	3	3	6261	0.03	1.09	6261	6261
200724_M02558_0382_000000000-J6WC6	1.5	11	1.95	0.5	6	3	3	0.08	0	3	3	9197	0.03	1.17	9197	9197
200724_M02558_0382_000000000-J6WC6	1.75	11	1.95	0.5	6	3	3	0.08	0	3	3	9740	0.03	1.19	9732	9726
200724_M02558_0382_000000000-J6WC6	2.0	11	1.95	0.5	6	3	3	0.08	0	3	3	9882	0.03	1.2	9874	9868
200724_M02558_0382_000000000-J6WC6	2.25	11	1.95	0.5	6	3	3	0.08	0	3	3	16202	0.03	1.57	16194	16188
200724_M02558_0382_000000000-J6WC6	2.5	11	1.95	0.5	6	3	3	0.08	0	3	3	20411	0.02	1.73	20403	20397
200729_M03829_0340_000000000-J6PLW	0.25	0	nan	nan	0	0	14	1.36	6	8	4	43	0.07	0.2	43	43
200729_M03829_0340_000000000-J6PLW	0.5	10	2.03	0.41	4	3	4	0.19	0	4	3	479	0.05	0.37	479	479
200729_M03829_0340_000000000-J6PLW	1.0	12	1.73	0.43	6	5	2	0.0	0	2	2	789	0.05	0.52	789	789
200729_M03829_0340_000000000-J6PLW	1.25	12	1.73	0.43	6	5	2	0.0	0	2	2	6270	0.04	1.07	6267	6267
200729_M03829_0340_000000000-J6PLW	1.5	12	1.73	0.43	6	5	2	0.0	0	2	2	9215	0.04	1.16	9212	9212
200729_M03829_0340_000000000-J6PLW	1.75	12	1.73	0.43	6	5	2	0.0	0	2	2	9642	0.04	1.18	9630	9622
200729_M03829_0340_000000000-J6PLW	2.0	12	1.73	0.43	6	5	2	0.0	0	2	2	9751	0.04	1.18	9739	9731
200729_M03829_0340_000000000-J6PLW	2.25	12	1.73	0.43	6	5	2	0.0	0	2	2	14746	0.03	1.51	14734	14726
200729_M03829_0340_000000000-J6PLW	2.5	12	1.73	0.43	6	5	2	0.0	0	2	2	18694	0.03	1.69	18682	18674
210105_M03829_0392_000000000-JDJMF	0.25	0	nan	nan	0	0	42	1.75	24	18	6	63	0.08	0.19	63	61
210105_M03829_0392_000000000-JDJMF	0.5	29	2.92	0.41	9	3	13	0.63	2	11	6	409	0.07	0.35	409	405
210105_M03829_0392_000000000-JDJMF	1.0	33	2.95	0.42	10	3	9	0.19	0	9	6	724	0.06	0.52	724	719
210105_M03829_0392_000000000-JDJMF	1.25	33	2.95	0.42	10	3	9	0.19	0	9	6	6384	0.03	1.08	6384	6377
210105_M03829_0392_000000000-JDJMF	1.5	33	2.95	0.42	10	3	9	0.19	0	9	6	9235	0.03	1.16	9235	9228
210105_M03829_0392_000000000-JDJMF	1.75	33	2.95	0.42	10	3	9	0.19	0	9	6	9713	0.03	1.18	9703	9685
210105_M03829_0392_000000000-JDJMF	2.0	33	2.95	0.42	10	3	9	0.19	0	9	6	9872	0.03	1.19	9862	9844
210105_M03829_0392_000000000-JDJMF	2.25	33	2.95	0.42	10	3	9	0.19	0	9	6	16973	0.03	1.6	16963	16945
210105_M03829_0392_000000000-JDJMF	2.5	33	2.95	0.42	10	3	9	0.19	0	9	6	21865	0.02	1.76	21855	21837
210106_M03829_0393_000000000-JFVRG	0.25	0	nan	nan	0	0	42	1.75	24	18	6	30	0.1	0.19	30	30
210106_M03829_0393_000000000-JFVRG	0.5	28	2.2	0.4	10	2	14	1.0	3	11	6	222	0.08	0.36	222	222
210106_M03829_0393_000000000-JFVRG	1.0	36	2.28	0.45	14	5	6	0.0	0	6	6	398	0.08	0.52	398	398
210106_M03829_0393_000000000-JFVRG	1.25	36	2.28	0.45	14	5	6	0.0	0	6	6	4180	0.04	1.09	4180	4180
210106_M03829_0393_000000000-JFVRG	1.5	36	2.28	0.45	14	5	6	0.0	0	6	6	6148	0.04	1.17	6148	6148
210106_M03829_0393_000000000-JFVRG	1.75	36	2.28	0.45	14	5	6	0.0	0	6	6	6494	0.05	1.19	6488	6476
210106_M03829_0393_000000000-JFVRG	2.0	36	2.28	0.45	14	5	6	0.0	0	6	6	6545	0.05	1.2	6539	6527
210106_M03829_0393_000000000-JFVRG	2.25	36	2.28	0.45	14	5	6	0.0	0	6	6	9987	0.04	1.53	9981	9969
210106_M03829_0393_000000000-JFVRG	2.5	36	2.28	0.45	14	5	6	0.0	0	6	6	12533	0.04	1.69	12527	12515
210118_M02558_0435_000000000-JGL96	0.25	0	nan	nan	0	0	42	1.75	24	18	6	62	0.06	0.19	62	62
210118_M02558_0435_000000000-JGL96	0.5	30	2.36	0.39	12	3	12	0.75	3	9	6	513	0.06	0.36	513	513
210118_M02558_0435_000000000-JGL96	1.0	36	2.38	0.43	13	3	6	0.0	0	6	6	906	0.06	0.52	906	906
210118_M02558_0435_000000000-JGL96	1.25	36	2.38	0.43	13	3	6	0.0	0	6	6	6725	0.03	1.07	6725	6725
210118_M02558_0435_000000000-JGL96	1.5	36	2.38	0.43	13	3	6	0.0	0	6	6	9954	0.03	1.15	9954	9954
210118_M02558_0435_000000000-JGL96	1.75	36	2.38	0.43	13	3	6	0.0	0	6	6	10417	0.03	1.17	10412	10397
210118_M02558_0435_000000000-JGL96	2.0	36	2.38	0.43	13	3	6	0.0	0	6	6	10543	0.03	1.18	10538	10523
210118_M02558_0435_000000000-JGL96	2.25	36	2.38	0.43	13	3	6	0.0	0	6	6	16422	0.03	1.53	16417	16402
210118_M02558_0435_000000000-JGL96	2.5	36	2.38	0.43	13	3	6	0.0	0	6	6	20438	0.02	1.69	20433	20418
210114_M02558_0434_000000000-JFLR3	0.25	0	nan	nan	0	0	42	1.75	24	18	6	57	0.07	0.2	57	57
210114_M02558_0434_000000000-JFLR3	0.5	28	2.73	0.4	7	1	14	0.91	5	9	6	519	0.07	0.36	519	518
210114_M02558_0434_000000000-JFLR3	1.0	33	2.88	0.43	8	1	9	0.19	0	9	6	848	0.06	0.51	848	847
210114_M02558_0434_000000000-JFLR3	1.25	33	2.88	0.43	8	1	9	0.19	0	9	6	6825	0.03	1.07	6825	6824
210114_M02558_0434_000000000-JFLR3	1.5	34	2.83	0.46	9	1	8	0.12	0	8	6	9915	0.03	1.15	9915	9914
210114_M02558_0434_000000000-JFLR3	1.75	34	2.83	0.46	9	1	8	0.12	0	8	6	10367	0.03	1.17	10358	10345
210114_M02558_0434_000000000-JFLR3	2.0	34	2.83	0.46	9	1	8	0.12	0	8	6	10478	0.03	1.18	10469	10456
210114_M02558_0434_000000000-JFLR3	2.25	34	2.83	0.46	9	1	8	0.12	0	8	6	16900	0.03	1.55	16891	16878
210114_M02558_0434_000000000-JFLR3	2.5	34	2.83	0.46	9	1	8	0.12	0	8	6	21758	0.03	1.73	21749	21736
210121_M02558_0437_000000000-JGGD9	0.25	0	nan	nan	0	0	42	1.75	24	18	6	62	0.11	0.2	62	60
210121_M02558_0437_000000000-JGGD9	0.5	24	2.73	0.4	8	2	18	0.9	5	13	6	418	0.07	0.35	418	413
210121_M02558_0437_000000000-JGGD9	1.0	28	2.63	0.46	10	2	14	0.5	3	11	6	765	0.07	0.53	765	758
210121_M02558_0437_000000000-JGGD9	1.25	28	2.63	0.46	10	2	14	0.5	3	11	6	5831	0.04	1.07	5829	5814
210121_M02558_0437_000000000-JGGD9	1.5	29	2.55	0.49	11	3	13	0.5	3	10	6	8443	0.04	1.15	8441	8424
210121_M02558_0437_000000000-JGGD9	1.75	29	2.55	0.49	11	3	13	0.5	3	10	6	8915	0.04	1.18	8906	8875
210121_M02558_0437_000000000-JGGD9	2.0	29	2.55	0.49	11	3	13	0.5	3	10	6	9020	0.04	1.19	9011	8980
210121_M02558_0437_000000000-JGGD9	2.25	29	2.55	0.49	11	3	13	0.5	3	10	6	14360	0.03	1.55	14351	14320
210121_M02558_0437_000000000-JGGD9	2.5	29	2.55	0.49	11	3	13	0.5	3	10	6	18189	0.03	1.71	18180	18149
210122_M02558_0438_000000000-JFLRB	0.25	0	nan	nan	0	0	42	1.75	24	18	6	41	0.07	0.18	41	41
210122_M02558_0438_000000000-JFLRB	0.5	32	2.27	0.39	11	4	10	0.52	2	8	6	358	0.05	0.36	358	358
210122_M02558_0438_000000000-JFLRB	1.0	36	2.23	0.42	13	4	6	0.0	0	6	6	687	0.06	0.53	687	687
210122_M02558_0438_000000000-JFLRB	1.25	36	2.23	0.42	13	4	6	0.0	0	6	6	5494	0.03	1.07	5494	5494
210122_M02558_0438_000000000-JFLRB	1.5	36	2.23	0.42	13	4	6	0.0	0	6	6	7853	0.03	1.15	7853	7853
210122_M02558_0438_000000000-JFLRB	1.75	36	2.23	0.42	13	4	6	0.0	0	6	6	8221	0.03	1.17	8218	8200
210122_M02558_0438_000000000-JFLRB	2.0	36	2.23	0.42	13	4	6	0.0	0	6	6	8300	0.03	1.18	8297	8279
210122_M02558_0438_000000000-JFLRB	2.25	36	2.23	0.42	13	4	6	0.0	0	6	6	12142	0.03	1.49	12139	12121
210122_M02558_0438_000000000-JFLRB	2.5	36	2.23	0.42	13	4	6	0.0	0	6	6	14847	0.03	1.64	14844	14826