vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.0_0.25  	4.0_12.0	0.9	0.5	13	238	5330	11	5	6	0.542	0.957	0.955	0.499	0.052	0.542	0.095	0.948
0.25_0.5  	4.0_12.0	0.9	0.5	16	24	1612	0	0	0	1.0	0.985	0.985	0.985	0.4	1.0	0.571	0.6
0.5_1.0   	4.0_12.0	0.9	0.5	24	0	791	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0_5.0   	4.0_12.0	0.9	0.5	50	3	389	0	0	0	1.0	0.992	0.993	0.992	0.943	1.0	0.971	0.057
5.0_100.0 	4.0_12.0	0.9	0.5	18	7	24	0	0	0	1.0	0.774	0.857	0.774	0.72	1.0	0.837	0.28
0.0_0.25  	8.0_12.0	0.9	0.5	10	129	3399	9	4	5	0.526	0.963	0.961	0.489	0.072	0.526	0.127	0.928
0.25_0.5  	8.0_12.0	0.9	0.5	15	15	1043	0	0	0	1.0	0.986	0.986	0.986	0.5	1.0	0.667	0.5
0.5_1.0   	8.0_12.0	0.9	0.5	23	0	443	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0_5.0   	8.0_12.0	0.9	0.5	47	3	241	0	0	0	1.0	0.988	0.99	0.988	0.94	1.0	0.969	0.06
5.0_100.0 	8.0_12.0	0.9	0.5	16	6	10	0	0	0	1.0	0.625	0.812	0.625	0.727	1.0	0.842	0.273
0.0_0.25  	12.0_12.0	0.9	0.5	5	55	1634	4	2	2	0.556	0.967	0.965	0.523	0.083	0.556	0.144	0.917
0.25_0.5  	12.0_12.0	0.9	0.5	10	10	479	0	0	0	1.0	0.98	0.98	0.98	0.5	1.0	0.667	0.5
0.5_1.0   	12.0_12.0	0.9	0.5	11	0	171	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0_5.0   	12.0_12.0	0.9	0.5	22	3	118	0	0	0	1.0	0.975	0.979	0.975	0.88	1.0	0.936	0.12
5.0_100.0 	12.0_12.0	0.9	0.5	8	2	6	0	0	0	1.0	0.75	0.875	0.75	0.8	1.0	0.889	0.2