ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	0.9	0.0	>=0.1_0.125	327	1841	19339	123	30	93	0.727	0.913	0.909	0.64	0.151	0.727	0.25	0.849	0.684
4.0_64.0	1.0	0.2	>=0.1_0.125	331	2056	19124	119	30	89	0.736	0.903	0.899	0.639	0.139	0.736	0.234	0.861	0.689
4.0_64.0	1.0	0.3	>=0.1_0.125	328	1944	19236	122	30	92	0.729	0.908	0.904	0.637	0.144	0.729	0.24	0.856	0.686
4.0_64.0	0.9	0.1	>=0.1_0.125	322	1714	19466	128	30	98	0.716	0.919	0.915	0.635	0.158	0.716	0.259	0.842	0.68
4.0_64.0	1.0	0.1	>=0.1_0.125	332	2181	18999	118	30	88	0.738	0.897	0.894	0.635	0.132	0.738	0.224	0.868	0.685
4.0_64.0	1.0	0.5	>=0.1_0.125	323	1750	19430	127	30	97	0.718	0.917	0.913	0.635	0.156	0.718	0.256	0.844	0.685
4.0_64.0	1.2	0.0	>=0.1_0.125	355	3287	17893	95	30	65	0.789	0.845	0.844	0.634	0.097	0.789	0.173	0.903	0.684
4.0_64.0	1.3	0.0	>=0.1_0.125	365	3749	17431	85	30	55	0.811	0.823	0.823	0.634	0.089	0.811	0.16	0.911	0.675
4.0_64.0	1.0	0.4	>=0.1_0.125	324	1847	19333	126	30	96	0.72	0.913	0.909	0.633	0.149	0.72	0.247	0.851	0.682
4.0_64.0	1.1	0.5	>=0.1_0.125	331	2176	19004	119	30	89	0.736	0.897	0.894	0.633	0.132	0.736	0.224	0.868	0.687
4.0_64.0	1.0	0.2	>=0.25    	290	322	5780	85	14	71	0.773	0.947	0.937	0.72	0.474	0.773	0.588	0.526	0.74
4.0_64.0	1.0	0.3	>=0.25    	288	294	5808	87	14	73	0.768	0.952	0.941	0.72	0.495	0.768	0.602	0.505	0.739
4.0_64.0	1.2	0.8	>=0.25    	291	340	5762	84	14	70	0.776	0.944	0.935	0.72	0.461	0.776	0.578	0.539	0.743
4.0_64.0	1.2	0.9	>=0.25    	289	311	5791	86	14	72	0.771	0.949	0.939	0.72	0.482	0.771	0.593	0.518	0.742
4.0_64.0	1.1	0.6	>=0.25    	288	299	5803	87	14	73	0.768	0.951	0.94	0.719	0.491	0.768	0.599	0.509	0.739
4.0_64.0	1.1	0.8	>=0.25    	285	253	5849	90	14	76	0.76	0.959	0.947	0.719	0.53	0.76	0.624	0.47	0.739
4.0_64.0	1.1	0.4	>=0.25    	292	374	5728	83	14	69	0.779	0.939	0.929	0.718	0.438	0.779	0.561	0.562	0.74
4.0_64.0	0.9	0.0	>=0.25    	287	292	5810	88	14	74	0.765	0.952	0.941	0.717	0.496	0.765	0.602	0.504	0.735
4.0_64.0	1.0	0.5	>=0.25    	284	244	5858	91	14	77	0.757	0.96	0.948	0.717	0.538	0.757	0.629	0.462	0.738
4.0_64.0	1.1	0.5	>=0.25    	290	339	5763	85	14	71	0.773	0.944	0.935	0.717	0.461	0.773	0.578	0.539	0.74
4.0_64.0	1.5	0.6	>=0.375   	272	183	1412	28	4	24	0.907	0.885	0.889	0.792	0.598	0.907	0.721	0.402	0.804
4.0_64.0	1.2	0.9	>=0.375   	242	26	1569	58	4	54	0.807	0.984	0.956	0.791	0.903	0.807	0.852	0.097	0.787
4.0_64.0	1.3	0.8	>=0.375   	248	60	1535	52	4	48	0.827	0.962	0.941	0.789	0.805	0.827	0.816	0.195	0.789
4.0_64.0	1.2	0.8	>=0.375   	243	37	1558	57	4	53	0.81	0.977	0.95	0.787	0.868	0.81	0.838	0.132	0.785
4.0_64.0	1.3	1.0	>=0.375   	244	42	1553	56	4	52	0.813	0.974	0.948	0.787	0.853	0.813	0.833	0.147	0.785
4.0_64.0	1.3	0.9	>=0.375   	245	50	1545	55	4	51	0.817	0.969	0.945	0.786	0.831	0.817	0.824	0.169	0.785
4.0_64.0	1.4	1.0	>=0.375   	248	66	1529	52	4	48	0.827	0.959	0.938	0.786	0.79	0.827	0.808	0.21	0.782
4.0_64.0	1.1	0.6	>=0.375   	241	29	1566	59	4	55	0.803	0.982	0.954	0.785	0.893	0.803	0.846	0.107	0.782
4.0_64.0	1.3	0.1	>=0.375   	270	183	1412	30	4	26	0.9	0.885	0.888	0.785	0.596	0.9	0.717	0.404	0.798
4.0_64.0	1.5	0.7	>=0.375   	266	163	1432	34	4	30	0.887	0.898	0.896	0.785	0.62	0.887	0.73	0.38	0.794
4.0_64.0	1.5	0.6	>=0.5     	221	138	1034	16	2	14	0.932	0.882	0.891	0.814	0.616	0.932	0.742	0.384	0.838
4.0_64.0	1.2	0.9	>=0.5     	196	16	1156	41	2	39	0.827	0.986	0.96	0.813	0.925	0.827	0.873	0.075	0.814
4.0_64.0	1.5	0.7	>=0.5     	217	121	1051	20	2	18	0.916	0.897	0.9	0.813	0.642	0.916	0.755	0.358	0.833
4.0_64.0	1.3	0.1	>=0.5     	220	136	1036	17	2	15	0.928	0.884	0.891	0.812	0.618	0.928	0.742	0.382	0.836
4.0_64.0	1.4	0.5	>=0.5     	215	113	1059	22	2	20	0.907	0.904	0.904	0.811	0.655	0.907	0.761	0.345	0.831
4.0_64.0	1.4	0.3	>=0.5     	221	144	1028	16	2	14	0.932	0.877	0.886	0.809	0.605	0.932	0.734	0.395	0.833
4.0_64.0	1.1	0.6	>=0.5     	195	18	1154	42	2	40	0.823	0.985	0.957	0.808	0.915	0.823	0.867	0.085	0.808
4.0_64.0	1.2	0.0	>=0.5     	214	112	1060	23	2	21	0.903	0.904	0.904	0.807	0.656	0.903	0.76	0.344	0.829
4.0_64.0	1.2	0.8	>=0.5     	196	24	1148	41	2	39	0.827	0.98	0.954	0.807	0.891	0.827	0.858	0.109	0.808
4.0_64.0	1.3	0.2	>=0.5     	216	122	1050	21	2	19	0.911	0.896	0.899	0.807	0.639	0.911	0.751	0.361	0.831
4.0_64.0	1.5	0.6	>=0.7_0.75	144	31	361	6	0	6	0.96	0.921	0.932	0.881	0.823	0.96	0.886	0.177	0.883
4.0_64.0	1.3	0.1	>=0.7_0.75	143	30	362	7	0	7	0.953	0.923	0.932	0.876	0.827	0.953	0.886	0.173	0.88
4.0_64.0	1.3	0.2	>=0.7_0.75	141	25	367	9	0	9	0.94	0.936	0.937	0.876	0.849	0.94	0.892	0.151	0.878
4.0_64.0	1.4	0.3	>=0.7_0.75	144	33	359	6	0	6	0.96	0.916	0.928	0.876	0.814	0.96	0.881	0.186	0.879
4.0_64.0	1.5	0.5	>=0.7_0.75	145	36	356	5	0	5	0.967	0.908	0.924	0.875	0.801	0.967	0.876	0.199	0.878
4.0_64.0	1.2	0.0	>=0.7_0.75	140	23	369	10	0	10	0.933	0.941	0.939	0.874	0.859	0.933	0.894	0.141	0.875
4.0_64.0	1.5	0.7	>=0.7_0.75	141	26	366	9	0	9	0.94	0.934	0.935	0.874	0.844	0.94	0.889	0.156	0.874
4.0_64.0	1.3	0.0	>=0.7_0.75	145	37	355	5	0	5	0.967	0.906	0.923	0.873	0.797	0.967	0.874	0.203	0.874
4.0_64.0	1.4	0.5	>=0.7_0.75	140	24	368	10	0	10	0.933	0.939	0.937	0.872	0.854	0.933	0.892	0.146	0.873
4.0_64.0	1.4	0.4	>=0.7_0.75	141	28	364	9	0	9	0.94	0.929	0.932	0.869	0.834	0.94	0.884	0.166	0.869
4.0_64.0	1.3	0.2	>=1.0     	72	8	129	3	0	3	0.96	0.942	0.948	0.902	0.9	0.96	0.929	0.1	0.902
4.0_64.0	1.3	0.1	>=1.0     	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.4	0.4	>=1.0     	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.5	0.7	>=1.0     	72	9	128	3	0	3	0.96	0.934	0.943	0.894	0.889	0.96	0.923	0.111	0.894
4.0_64.0	1.4	0.2	>=1.0     	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.5	0.5	>=1.0     	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.2	0.0	>=1.0     	71	8	129	4	0	4	0.947	0.942	0.943	0.889	0.899	0.947	0.922	0.101	0.889
4.0_64.0	1.4	0.5	>=1.0     	71	8	129	4	0	4	0.947	0.942	0.943	0.889	0.899	0.947	0.922	0.101	0.889
4.0_64.0	1.4	0.3	>=1.0     	72	10	127	3	0	3	0.96	0.927	0.939	0.887	0.878	0.96	0.917	0.122	0.887
4.0_64.0	1.5	0.6	>=1.0     	72	10	127	3	0	3	0.96	0.927	0.939	0.887	0.878	0.96	0.917	0.122	0.887
